-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 1 4 1 2

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=629239, spec=[1, 4, 1, 2], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0676 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.915 | V -0.110 | pL -0.022 | vL 0.001 | ∇ 0.052
U 2 | F 004096 | FPS 0665 | D 6 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.936 | V -0.088 | pL -0.017 | vL 0.000 | ∇ 0.012
U 3 | F 006144 | FPS 0667 | D 9 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.934 | V -0.064 | pL -0.023 | vL 0.000 | ∇ 0.016
U 4 | F 008192 | FPS 0663 | D 12 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.938 | V -0.058 | pL -0.010 | vL 0.000 | ∇ 0.007
U 5 | F 010240 | FPS 0663 | D 15 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V -0.048 | pL -0.008 | vL 0.000 | ∇ 0.004
U 6 | F 012288 | FPS 0671 | D 18 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.942 | V -0.039 | pL -0.009 | vL 0.000 | ∇ 0.009
U 7 | F 014336 | FPS 0666 | D 21 | rR:μσmM 0.07 0.19 0.00 0.58 | F:μσmM 303.2 55.1 150.0 324.0 | H 1.936 | V -0.026 | pL -0.016 | vL 0.002 | ∇ 0.021
U 8 | F 016384 | FPS 0672 | D 24 | rR:μσmM 0.07 0.19 0.00 0.58 | F:μσmM 303.2 55.1 150.0 324.0 | H 1.938 | V -0.022 | pL -0.007 | vL 0.000 | ∇ 0.008
U 9 | F 018432 | FPS 0670 | D 27 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.942 | V -0.019 | pL -0.005 | vL 0.000 | ∇ 0.009
U 10 | F 020480 | FPS 0665 | D 30 | rR:μσmM 0.03 0.07 0.00 0.23 | F:μσmM 318.9 13.5 278.0 324.0 | H 1.941 | V -0.009 | pL -0.007 | vL 0.000 | ∇ 0.022
Status saved
