-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 1 3 1 2

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=251848, spec=[1, 3, 1, 2], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0671 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.931 | V 0.028 | pL 0.003 | vL 0.001 | ∇ 0.067
U 2 | F 004096 | FPS 0665 | D 6 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.941 | V 0.013 | pL 0.003 | vL 0.000 | ∇ 0.008
U 3 | F 006144 | FPS 0677 | D 9 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V 0.010 | pL 0.002 | vL 0.000 | ∇ 0.004
U 4 | F 008192 | FPS 0675 | D 12 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V 0.009 | pL 0.002 | vL 0.000 | ∇ 0.002
U 5 | F 010240 | FPS 0668 | D 15 | rR:μσmM 0.01 0.04 0.00 0.17 | F:μσmM 322.4 6.3 298.0 324.0 | H 1.940 | V 0.011 | pL 0.000 | vL 0.000 | ∇ 0.006
U 6 | F 012288 | FPS 0668 | D 18 | rR:μσmM 0.01 0.04 0.00 0.17 | F:μσmM 322.4 6.3 298.0 324.0 | H 1.943 | V 0.009 | pL 0.001 | vL 0.000 | ∇ 0.004
U 7 | F 014336 | FPS 0665 | D 21 | rR:μσmM 0.02 0.09 0.00 0.38 | F:μσmM 317.7 24.4 223.0 324.0 | H 1.940 | V 0.012 | pL -0.002 | vL 0.000 | ∇ 0.011
U 8 | F 016384 | FPS 0676 | D 24 | rR:μσmM 0.02 0.09 0.00 0.38 | F:μσmM 317.7 24.4 223.0 324.0 | H 1.943 | V 0.009 | pL 0.003 | vL 0.000 | ∇ 0.006
U 9 | F 018432 | FPS 0669 | D 27 | rR:μσmM 0.05 0.20 0.00 0.84 | F:μσmM 307.4 64.1 59.0 324.0 | H 1.941 | V 0.010 | pL -0.001 | vL 0.001 | ∇ 0.017
U 10 | F 020480 | FPS 0666 | D 30 | rR:μσmM 0.05 0.20 0.00 0.84 | F:μσmM 307.4 64.1 59.0 324.0 | H 1.942 | V 0.013 | pL 0.002 | vL 0.000 | ∇ 0.005
Status saved
U 11 | F 022528 | FPS 0681 | D 33 | rR:μσmM 0.05 0.18 0.00 0.74 | F:μσmM 309.6 55.7 94.0 324.0 | H 1.933 | V 0.019 | pL -0.003 | vL 0.001 | ∇ 0.030
U 12 | F 024576 | FPS 0668 | D 36 | rR:μσmM 0.05 0.18 0.00 0.74 | F:μσmM 309.6 55.7 94.0 324.0 | H 1.940 | V 0.012 | pL 0.002 | vL 0.000 | ∇ 0.007
U 13 | F 026624 | FPS 0669 | D 39 | rR:μσmM 0.05 0.18 0.00 0.74 | F:μσmM 309.6 55.7 94.0 324.0 | H 1.942 | V 0.010 | pL 0.003 | vL 0.000 | ∇ 0.006
U 14 | F 028672 | FPS 0669 | D 42 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.944 | V 0.008 | pL 0.001 | vL 0.000 | ∇ 0.002
U 15 | F 030720 | FPS 0666 | D 45 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.944 | V 0.007 | pL 0.001 | vL 0.000 | ∇ 0.002
U 16 | F 032768 | FPS 0678 | D 48 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.945 | V 0.007 | pL 0.002 | vL 0.000 | ∇ 0.002
U 17 | F 034816 | FPS 0670 | D 52 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.944 | V 0.006 | pL 0.001 | vL 0.000 | ∇ 0.002
U 18 | F 036864 | FPS 0678 | D 55 | rR:μσmM 0.06 0.13 0.00 0.39 | F:μσmM 308.9 32.6 221.0 324.0 | H 1.937 | V 0.011 | pL -0.004 | vL 0.001 | ∇ 0.021
U 19 | F 038912 | FPS 0668 | D 58 | rR:μσmM 0.06 0.13 0.00 0.39 | F:μσmM 308.9 32.6 221.0 324.0 | H 1.944 | V 0.009 | pL 0.001 | vL 0.000 | ∇ 0.005
U 20 | F 040960 | FPS 0669 | D 61 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.940 | V 0.009 | pL 0.002 | vL 0.000 | ∇ 0.007
Status saved
U 21 | F 043008 | FPS 0677 | D 64 | rR:μσmM 0.05 0.19 0.00 0.78 | F:μσmM 308.6 59.5 78.0 324.0 | H 1.933 | V 0.015 | pL -0.006 | vL 0.002 | ∇ 0.046
U 22 | F 045056 | FPS 0669 | D 67 | rR:μσmM 0.05 0.19 0.00 0.78 | F:μσmM 308.6 59.5 78.0 324.0 | H 1.942 | V 0.021 | pL 0.004 | vL 0.000 | ∇ 0.009
U 23 | F 047104 | FPS 0673 | D 70 | rR:μσmM 0.05 0.18 0.00 0.74 | F:μσmM 309.6 55.7 94.0 324.0 | H 1.939 | V 0.026 | pL -0.001 | vL 0.001 | ∇ 0.016
U 24 | F 049152 | FPS 0675 | D 73 | rR:μσmM 0.12 0.25 0.00 0.74 | F:μσmM 287.9 77.2 94.0 324.0 | H 1.937 | V 0.029 | pL -0.004 | vL 0.001 | ∇ 0.021
U 25 | F 051200 | FPS 0667 | D 76 | rR:μσmM 0.12 0.25 0.00 0.74 | F:μσmM 287.9 77.2 94.0 324.0 | H 1.932 | V 0.029 | pL 0.004 | vL 0.000 | ∇ 0.012
U 26 | F 053248 | FPS 0672 | D 79 | rR:μσmM 0.04 0.17 0.00 0.69 | F:μσmM 310.8 51.3 112.0 324.0 | H 1.934 | V 0.019 | pL 0.005 | vL 0.000 | ∇ 0.007
U 27 | F 055296 | FPS 0669 | D 82 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.942 | V 0.017 | pL 0.003 | vL 0.000 | ∇ 0.003
U 28 | F 057344 | FPS 0676 | D 85 | rR:μσmM 0.01 0.05 0.00 0.19 | F:μσmM 321.9 8.2 290.0 324.0 | H 1.941 | V 0.015 | pL 0.002 | vL 0.000 | ∇ 0.008
U 29 | F 059392 | FPS 0669 | D 88 | rR:μσmM 0.02 0.05 0.00 0.19 | F:μσmM 321.9 8.2 290.0 324.0 | H 1.939 | V 0.016 | pL 0.001 | vL 0.000 | ∇ 0.010
U 30 | F 061440 | FPS 0672 | D 91 | rR:μσmM 0.18 0.21 0.00 0.66 | F:μσmM 276.4 62.5 122.0 324.0 | H 1.923 | V 0.030 | pL -0.020 | vL 0.002 | ∇ 0.058
Status saved
U 31 | F 063488 | FPS 0682 | D 94 | rR:μσmM 0.21 0.20 0.00 0.66 | F:μσmM 271.8 60.1 122.0 324.0 | H 1.938 | V 0.009 | pL 0.003 | vL 0.000 | ∇ 0.012
U 32 | F 065536 | FPS 0674 | D 97 | rR:μσmM 0.11 0.13 0.00 0.42 | F:μσmM 301.8 31.9 210.0 324.0 | H 1.938 | V 0.012 | pL -0.002 | vL 0.000 | ∇ 0.008
